,latitude,longitude,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
27,47.6221,-122.314,667000,3,1,1400,1581,1.5
64,47.6113,-122.297,425000,3,2.25,1660,6000,1
99,47.6415,-122.315,850830,3,2.5,2070,13241,1.5
174,47.6106,-122.31,425000,3,2.5,1120,1100,2
176,47.6101,-122.307,385000,3,1,1220,4800,1
236,47.6136,-122.303,410000,4,1,1970,4740,1.5
259,47.6362,-122.302,780000,3,1,1660,4400,1.5
262,47.5964,-122.299,425000,2,1,770,5040,1
281,47.6166,-122.287,2050000,5,3,3830,8480,2
304,47.6239,-122.298,725000,3,1.75,1920,3300,1
309,47.601,-122.294,834000,4,2.5,2370,4000,1.5
324,47.644,-122.319,740000,4,2,2050,4400,1.5
374,47.592,-122.307,435000,3,1.5,1300,3348,1.5
395,47.6055,-122.305,557000,3,3.5,1710,2096,2
419,47.6073,-122.308,375000,2,1,940,5120,1
490,47.6192,-122.301,490000,2,2.5,1230,1391,2
513,47.6415,-122.285,2250000,4,2.25,4760,8036,2.5
568,47.6136,-122.299,650000,5,2.75,2550,5040,1.5
581,47.6045,-122.307,640000,3,2.5,2160,4000,1.5
668,47.6462,-122.318,865000,4,1.75,1800,4180,2
771,47.6101,-122.295,493000,4,2,1910,2874,1
773,47.6196,-122.286,2250000,5,4.25,4860,9453,1.5
805,47.6124,-122.309,419000,2,2.25,1180,1253,2
855,47.5951,-122.307,910000,3,3.5,2480,3200,2
862,47.5962,-122.288,642450,3,1.75,1830,4160,1
867,47.6362,-122.322,1095000,0,0,3064,4764,3.5
878,47.6094,-122.291,700000,5,3.25,2400,3118,2
883,47.6476,-122.318,1010000,4,1,1820,5400,1.5
936,47.6364,-122.3,915000,5,2.5,2750,5589,1.5
954,47.6233,-122.319,425000,2,1,970,2970,1
1006,47.6078,-122.291,429000,2,1,1080,3600,1
1066,47.6231,-122.293,515000,2,1,1060,4228,1
1075,47.6163,-122.292,490000,3,1.5,1970,3400,1.5
1092,47.6051,-122.319,631000,5,2,2270,2400,2
1115,47.6261,-122.296,505000,3,1,1380,4000,1.5
1131,47.5965,-122.311,380000,5,2,1680,3240,1
1206,47.617,-122.282,1875000,5,3.25,4110,7920,2
1235,47.6189,-122.288,1225000,5,4.5,3732,4426,2.5
1263,47.5926,-122.295,363000,2,2,920,1201,2
1266,47.6196,-122.292,831000,4,3,2170,4000,2
1307,47.6498,-122.321,600000,3,1.75,1620,1325,2.5
1314,47.607,-122.305,625000,3,3.5,1810,1846,2
1316,47.6227,-122.31,1200000,4,2,2120,3360,2
1423,47.5959,-122.293,535000,3,2,2040,5600,1
1480,47.596,-122.298,499950,3,3.5,1820,1991,2
1504,47.6209,-122.317,550000,3,1.75,1650,3200,1.5
1575,47.5947,-122.288,1050000,4,2.5,2920,7200,1
1583,47.6393,-122.311,895000,3,2.5,2500,7746,2
1598,47.6099,-122.297,349500,3,2,1270,3600,1
1608,47.6248,-122.301,169317,2,1,790,4000,1
1609,47.6258,-122.302,1198000,4,3.5,3400,3850,2.5
1610,47.6325,-122.303,880000,2,1,1530,6350,1.5
1641,47.5943,-122.296,342000,3,3,1260,1251,2
1642,47.6086,-122.303,490000,8,5,2800,2580,2
1683,47.619,-122.311,600000,2,1,1040,3600,1
1688,47.6272,-122.316,1265000,4,3,3130,2646,2.5
1698,47.612,-122.292,800000,3,1,1700,4400,1.5
1720,47.609,-122.307,469000,3,1,950,4250,1.5
1798,47.6255,-122.314,1315000,4,2.25,3180,6105,2
1849,47.6059,-122.307,618000,3,2.5,2340,3630,2
1868,47.5998,-122.306,345000,2,1.5,830,920,2
1874,47.6053,-122.291,599000,4,2.75,2020,2750,1
1923,47.6315,-122.29,1715000,4,3.75,4490,7623,2
1924,47.6338,-122.319,2400000,4,3.75,4090,24825,2
1966,47.6298,-122.29,1600000,3,4.25,2820,7200,2
1985,47.6296,-122.308,625000,3,1.75,1660,4800,2
1986,47.6367,-122.318,1015000,4,2.5,2960,4760,2
1996,47.6357,-122.324,580000,3,3.25,1490,857,3
2023,47.632,-122.289,1568000,3,2.75,2340,8828,1
2056,47.6265,-122.312,875000,5,2.5,2920,5568,2
2061,47.6256,-122.284,1250000,3,2.5,2070,4944,2
2077,47.6039,-122.298,491000,3,2,2005,7000,1
2095,47.6288,-122.321,852000,3,3,2400,4000,2
2139,47.6169,-122.309,570000,3,3.5,1460,1021,2
2150,47.6052,-122.3,638000,3,1,1830,4400,1.5
2256,47.6108,-122.308,660000,3,3,2260,1825,2
2259,47.6272,-122.29,569000,3,2,1990,3000,1.5
2271,47.6388,-122.3,585000,5,2.75,2350,4178,1.5
2284,47.6406,-122.304,1185000,4,2.75,2850,3000,2.5
2296,47.6394,-122.29,1810000,3,3.5,3780,8295,2
2405,47.6154,-122.283,1600000,5,2.5,3100,5374,2.5
2492,47.6118,-122.306,415000,3,1,1560,4500,1.5
2530,47.6158,-122.293,890000,4,2.75,2610,4400,1
2534,47.6381,-122.304,1600000,4,2.25,2940,5735,1
2536,47.6037,-122.311,499000,3,2.5,1750,2150,2.5
2578,47.5934,-122.308,450000,3,1,1210,4000,1.5
2588,47.6035,-122.285,1165000,3,3,3790,5001,2
2645,47.6305,-122.3,820000,2,2.5,2210,4440,2
2667,47.6048,-122.312,412000,2,1,1040,5120,1
2678,47.6233,-122.3,780000,2,2.5,2560,2500,2
2755,47.6012,-122.291,545000,2,1.5,1620,3760,2
2781,47.5926,-122.296,450000,2,3,1790,1709,2
2790,47.6168,-122.301,425000,3,2,1180,1800,2
2818,47.6056,-122.305,534000,5,2,2280,3600,2
2821,47.623,-122.304,856000,3,1.5,1480,2700,1.5
2822,47.6182,-122.302,582000,4,3,1670,1189,3
2831,47.5925,-122.287,3600000,3,3.25,5020,12431,2
